Chapter,Level,Main WXP,Secondary WXP,S Rank WXP,Promoted WXP,Villager WXP,Maid WXP
7,7,21,21,21,0,21,0
8,8,25,23,25,0,25,0
9,9,29,25,29,0,29,0
10,10,33,27,33,0,33,0
11,11,37,29,37,0,37,0
12,12,41,31,41,0,41,0
13,13,45,33,45,0,45,0
14,14,49,35,49,0,49,0
15,15,53,37,53,0,51,0
16,17,61,41,61,0,51,0
17,19,69,45,69,0,51,0
18,20,73,47,73,1,51,1
19,22,77,51,81,5,55,5
20,24,85,59,97,13,63,13
21,26,93,67,113,21,71,21
22,28,101,75,129,29,79,29
23,30,109,83,145,37,87,37
24,32,117,91,161,45,95,45
25,34,125,99,177,53,103,51
26,36,133,107,193,61,111,51
27,38,141,115,209,69,119,51
28,40,161,123,251,96,127,51
