Skill,Description,Icon Row,Icon Column,Cost,Restrictions,ID
HP +5,Grants +5 to max HP.,0,2,4,[],1
Strength +2,Grants Str+2.,0,3,2,[],2
Magic +2,Grants Mag+2.,0,4,2,[],3
Skill +2,Grants Skill+2.,0,5,1,[],4
Speed +2,Grants Spd+2.,0,6,2,[],5
Luck +4,Grants Lck+4.,0,7,1,[],6
Defense +2,Grants Def+2.,0,8,1,[],7
Resistance +2,Grants Res+2.,0,9,1,[],8
Movement +1,Grants Mov+1.,0,10,3,[],9
Draconic Hex,"After combat, reduces all of enemy's stats
by 4 (recovers 1/turn).",0,11,12,"[{""Points Off"": false}]",10
Seal Strength,"After combat, reduces enemy Str
by 6 (recovers 1/turn).",0,12,2,[],11
Seal Magic,"After combat, reduces enemy Mag
by 6 (recovers 1/turn).",0,13,2,[],12
Seal Speed,"After combat, reduces enemy Spd
by 6 (recovers 1/turn).",0,14,2,[],13
Seal Defense,"After combat, reduces enemy Def
by 6 (recovers 1/turn).",0,15,2,[],14
Seal Resistance,"After combat, reduces enemy Res
by 6 (recovers 1/turn).",0,16,2,[],15
Rally Strength,"Use ""Rally"" to grant Str+4 to units
within two spaces for one turn.",0,17,4,[],16
Rally Magic,"Use ""Rally"" to grant Mag+4 to units
within two spaces for one turn.",0,18,2,[],17
Rally Skill,"Use ""Rally"" to grant Skill+4 to units
within two spaces for one turn.",0,19,2,[],18
Rally Speed,"Use ""Rally"" to grant Spd+4 to units
within two spaces for one turn.",0,20,4,[],19
Rally Luck,"Use ""Rally"" to grant Lck+8 to units
within two spaces for one turn.",1,0,2,[],20
Rally Defense,"Use ""Rally"" to grant Def+4 to units
within two spaces for one turn.",1,1,2,[],21
Rally Resistance,"Use ""Rally"" to grant Res+4 to units
within two spaces for one turn.",1,2,2,[],22
Rally Movement,"Use ""Rally"" to grant Mov+1 to units
within two spaces for one turn.",1,3,7,"[{""Points Off"": false}]",23
Inspiring Song,"Use ""Sing"" to grant an ally
Skill/Spd/Lck+3 for one turn.",1,4,0,"[{""Always"": false}]",24
Lethality,"Fell an enemy in one hit (the hit must do
damage). Trigger % = (Skill stat * 0.25)",1,5,1,[],25
Aether,"Use Sol and Luna in succession when
attacking. Trigger % = (Skill stat * 0.5)",1,6,3,[],26
Astra,"Strike five times at half damage.
Trigger % = (Skill stat * 0.5)",1,7,3,[],27
Dragon Fang,"Inflicts half of attack power as extra
damage. Trigger % = (Skill stat * 0.75)",1,8,4,[],28
Sol,"Absorb HP equal to half of damage
dealt. Trigger % = (Skill stat)",1,9,4,[],29
Luna,"Ignore half of enemy Def/Res when
attacking. Trigger % = (Skill stat)",1,10,2,[],30
Rend Heaven,"Add half foe's Str/Mag to unit's respective
stat. Trigger % = (Skill stat * 1.5)",1,11,10,"[{""Points Off"": false}]",31
Vengeance,"Add half accrued damage to attacks.
Trigger % = (Skill stat * 1.5)",1,12,2,[],32
Pavise,"Halve sword/lance/axe/beaststone/fist/saw
damage. Trigger % = (Skill stat)",1,13,5,[],33
Aegis,"Halve bow/tome/dragonstone/breath/rock/
shuriken damage. Trigger % = (Skill stat)",1,14,5,[],34
Dragon Ward,"Halve damage when adjacent ally is
attacked. Trigger % = (target's Lck)",1,15,1,[],35
Miracle,"If HP > 1, survive a lethal attack with 1 HP
remaining. Trigger % = (Lck stat * 1.5)",1,16,3,[],36
Counter,"Damage taken from an adjacent attacking
enemy is also dealt back to that foe.",1,17,6,[],37
Countermagic,"Magic damage taken from an attacking
enemy is also dealt back to that foe.",1,18,2,[],38
Vantage,"At start of combat, if HP=50% or less,
always strike first, even when attacked.",1,19,8,"[{""Points Off"": false}]",39
Beastbane,"Enables unit in animal form to deal bonus
damage to beasts.",1,20,0,"[{""Always"": false}]",40
Golembane,"Enables unit to deal bonus damage to
mechanists, automatons, and stoneborn.",2,0,1,[],41
Nohrian Trust,"This unit can use a supporting unit's
triggered skills in combat.",2,1,2,[],42
